      TIME             V(CLK)             V(DT)             V(AQ)             V(BQ)      
   0.00000000e+00    0.00000000e+00    0.00000000e+00    9.46342928e-08    9.46342931e-08
   2.00000000e-12    0.00000000e+00    0.00000000e+00    9.46342928e-08    9.46342931e-08
   6.00000000e-12    0.00000000e+00    0.00000000e+00    9.46342929e-08    9.46342930e-08
   1.40000000e-11    0.00000000e+00    0.00000000e+00    9.46342929e-08    9.46342931e-08
   3.00000000e-11    0.00000000e+00    0.00000000e+00    9.46342930e-08    9.46342930e-08
   6.20000000e-11    0.00000000e+00    0.00000000e+00    9.46342930e-08    9.46342929e-08
   1.12000000e-10    0.00000000e+00    0.00000000e+00    9.46342930e-08    9.46342929e-08
   1.62000000e-10    0.00000000e+00    0.00000000e+00    9.46342930e-08    9.46342929e-08
   2.12000000e-10    0.00000000e+00    0.00000000e+00    9.46342929e-08    9.46342930e-08
   2.62000000e-10    0.00000000e+00    0.00000000e+00    9.46342929e-08    9.46342929e-08
   3.12000000e-10    0.00000000e+00    0.00000000e+00    9.46342929e-08    9.46342929e-08
   3.62000000e-10    0.00000000e+00    0.00000000e+00    9.46342929e-08    9.46342930e-08
   4.12000000e-10    0.00000000e+00    0.00000000e+00    9.46342929e-08    9.46342929e-08
   4.62000000e-10    0.00000000e+00    0.00000000e+00    9.46342929e-08    9.46342929e-08
   5.00000000e-10    0.00000000e+00    0.00000000e+00    9.46342929e-08    9.46342929e-08
   5.00209375e-10    7.50000000e-03    0.00000000e+00    7.86916199e-07    7.86916199e-07
   5.00418750e-10    1.50000000e-02    0.00000000e+00    1.45449972e-06    1.45449972e-06
   5.00628125e-10    2.25000000e-02    0.00000000e+00    2.10990442e-06    2.10990442e-06
   5.01046875e-10    3.75000000e-02    0.00000000e+00    3.34848633e-06    3.34848633e-06
   5.01884375e-10    6.75000000e-02    0.00000000e+00    5.54923344e-06    5.54923344e-06
   5.03559375e-10    1.27500000e-01    0.00000000e+00    8.95250915e-06    8.95250915e-06
   5.06909375e-10    2.47500000e-01    0.00000000e+00    1.26309306e-05    1.26309306e-05
   5.10259375e-10    3.67500000e-01    0.00000000e+00    1.34107877e-05    1.34107877e-05
   5.13609375e-10    4.87500000e-01    0.00000000e+00    1.26666506e-05    1.26666506e-05
   5.14665769e-10    5.25340964e-01    0.00000000e+00    1.22213240e-05    1.22213240e-05
   5.16778556e-10    6.01022893e-01    0.00000000e+00    1.11319502e-05    1.11319502e-05
   5.17467417e-10    6.25698523e-01    0.00000000e+00    1.06340012e-05    1.06340012e-05
   5.18845140e-10    6.75049781e-01    0.00000000e+00    9.40814251e-06    9.40814251e-06
   5.21600585e-10    7.73752298e-01    0.00000000e+00    4.92043805e-06    4.92043805e-06
   5.22017872e-10    7.88699884e-01    0.00000000e+00    3.88904266e-06    3.88904266e-06
   5.22435158e-10    8.03647469e-01    0.00000000e+00    2.78144473e-06    2.78144473e-06
   5.23269732e-10    8.33542639e-01    0.00000000e+00    1.76485889e-07    1.76485889e-07
   5.24104305e-10    8.63437809e-01    0.00000000e+00   -3.01328781e-06   -3.01328781e-06
   5.24938879e-10    8.93332979e-01    0.00000000e+00   -6.84799425e-06   -6.84799425e-06
   5.25773452e-10    9.23228149e-01    0.00000000e+00   -1.13220060e-05   -1.13220060e-05
   5.26608026e-10    9.53123319e-01    0.00000000e+00   -1.63632873e-05   -1.63632873e-05
   5.27442599e-10    9.83018489e-01    0.00000000e+00   -2.18962437e-05   -2.18962437e-05
   5.28277173e-10    1.01291366e+00    0.00000000e+00   -2.78755671e-05   -2.78755671e-05
   5.29111746e-10    1.04280883e+00    0.00000000e+00   -3.42758808e-05   -3.42758808e-05
   5.29946320e-10    1.07270400e+00    0.00000000e+00   -4.10766384e-05   -4.10766384e-05
   5.30780893e-10    1.10259917e+00    0.00000000e+00   -4.82543658e-05   -4.82543658e-05
   5.31615467e-10    1.13249434e+00    0.00000000e+00   -5.57797157e-05   -5.57797157e-05
   5.32450040e-10    1.16238951e+00    0.00000000e+00   -6.36165522e-05   -6.36165522e-05
   5.33284614e-10    1.19228468e+00    0.00000000e+00   -7.17217719e-05   -7.17217719e-05
   5.33500000e-10    1.20000000e+00    0.00000000e+00   -7.38524412e-05   -7.38524412e-05
   5.33547131e-10    1.20000000e+00    0.00000000e+00   -7.44159362e-05   -7.44159362e-05
   5.33588735e-10    1.20000000e+00    0.00000000e+00   -7.49094530e-05   -7.49094530e-05
   5.33630339e-10    1.20000000e+00    0.00000000e+00   -7.54010881e-05   -7.54010881e-05
   5.33713547e-10    1.20000000e+00    0.00000000e+00   -7.63726784e-05   -7.63726784e-05
   5.33879964e-10    1.20000000e+00    0.00000000e+00   -7.82695014e-05   -7.82695014e-05
   5.34212797e-10    1.20000000e+00    0.00000000e+00   -8.18807026e-05   -8.18807026e-05
   5.34878462e-10    1.20000000e+00    0.00000000e+00   -8.83982964e-05   -8.83982964e-05
   5.36209794e-10    1.20000000e+00    0.00000000e+00   -9.88241620e-05   -9.88241620e-05
   5.38872457e-10    1.20000000e+00    0.00000000e+00   -1.10926216e-04   -1.10926216e-04
   5.41535120e-10    1.20000000e+00    0.00000000e+00   -1.13776529e-04   -1.13776529e-04
   5.44197784e-10    1.20000000e+00    0.00000000e+00   -1.09792274e-04   -1.09792274e-04
   5.46594180e-10    1.20000000e+00    0.00000000e+00   -1.01982113e-04   -1.01982113e-04
   5.48990577e-10    1.20000000e+00    0.00000000e+00   -9.15356624e-05   -9.15356624e-05
   5.51386974e-10    1.20000000e+00    0.00000000e+00   -7.91752201e-05   -7.91752201e-05
   5.53783371e-10    1.20000000e+00    0.00000000e+00   -6.50383784e-05   -6.50383784e-05
   5.56179768e-10    1.20000000e+00    0.00000000e+00   -4.96330419e-05   -4.96330419e-05
   5.58576165e-10    1.20000000e+00    0.00000000e+00   -3.40077613e-05   -3.40077613e-05
   5.60732922e-10    1.20000000e+00    0.00000000e+00   -2.02438486e-05   -2.02438486e-05
   5.62674003e-10    1.20000000e+00    0.00000000e+00   -8.22549202e-06   -8.22549202e-06
   5.64615085e-10    1.20000000e+00    0.00000000e+00    3.37367600e-06    3.37367600e-06
   5.66556166e-10    1.20000000e+00    0.00000000e+00    1.44871391e-05    1.44871391e-05
   5.68497248e-10    1.20000000e+00    0.00000000e+00    2.50391628e-05    2.50391628e-05
   5.70438329e-10    1.20000000e+00    0.00000000e+00    3.49437033e-05    3.49437033e-05
   5.72379411e-10    1.20000000e+00    0.00000000e+00    4.41077512e-05    4.41077512e-05
   5.74320492e-10    1.20000000e+00    0.00000000e+00    5.24378562e-05    5.24378562e-05
   5.76261574e-10    1.20000000e+00    0.00000000e+00    5.98482972e-05    5.98482972e-05
   5.78202655e-10    1.20000000e+00    0.00000000e+00    6.62691207e-05    6.62691207e-05
   5.80143736e-10    1.20000000e+00    0.00000000e+00    7.16525458e-05    7.16525458e-05
   5.82084818e-10    1.20000000e+00    0.00000000e+00    7.59769480e-05    7.59769480e-05
   5.84025899e-10    1.20000000e+00    0.00000000e+00    7.92485603e-05    7.92485603e-05
   5.85966981e-10    1.20000000e+00    0.00000000e+00    8.15021553e-05    8.15021553e-05
   5.87908062e-10    1.20000000e+00    0.00000000e+00    8.28036843e-05    8.28036843e-05
   5.89849144e-10    1.20000000e+00    0.00000000e+00    8.32610483e-05    8.32610483e-05
   5.91790225e-10    1.20000000e+00    0.00000000e+00    8.30532013e-05    8.30532013e-05
   5.93731307e-10    1.20000000e+00    0.00000000e+00    8.24786958e-05    8.24786958e-05
   5.95672388e-10    1.20000000e+00    0.00000000e+00    8.19621886e-05    8.19621886e-05
   5.97613470e-10    1.20000000e+00    0.00000000e+00    8.19039489e-05    8.19039489e-05
   5.99554551e-10    1.20000000e+00    0.00000000e+00    8.24828925e-05    8.24828925e-05
