      TIME              V(A)              V(Y)             I(VVDD)     
   0.00000000e+00    0.00000000e+00    1.20000000e+00   -6.00276591e-12
   1.00000000e-12    0.00000000e+00    1.20000000e+00   -4.01901685e-12
   3.00000000e-12    0.00000000e+00    1.20000000e+00   -4.24938856e-12
   7.00000000e-12    0.00000000e+00    1.20000000e+00   -4.65667683e-12
   1.50000000e-11    0.00000000e+00    1.20000000e+00   -5.21692826e-12
   3.10000000e-11    0.00000000e+00    1.19999999e+00   -5.75843610e-12
   6.30000000e-11    0.00000000e+00    1.19999999e+00   -6.00886610e-12
   1.27000000e-10    0.00000000e+00    1.19999999e+00   -6.00062061e-12
   2.27000000e-10    0.00000000e+00    1.19999999e+00   -6.00387463e-12
   3.27000000e-10    0.00000000e+00    1.19999999e+00   -6.00219160e-12
   4.27000000e-10    0.00000000e+00    1.19999999e+00   -6.00305582e-12
   5.27000000e-10    0.00000000e+00    1.19999999e+00   -6.00262751e-12
   6.27000000e-10    0.00000000e+00    1.19999999e+00   -6.00282370e-12
   7.27000000e-10    0.00000000e+00    1.19999999e+00   -6.00275110e-12
   8.27000000e-10    0.00000000e+00    1.19999999e+00   -6.00275801e-12
   9.27000000e-10    0.00000000e+00    1.19999999e+00   -6.00278606e-12
   1.00000000e-09    0.00000000e+00    1.19999999e+00   -6.00273776e-12
   1.00003125e-09    1.87500000e-03    1.20034497e+00    1.18523905e-04
   1.00004302e-09    2.58133595e-03    1.20047483e+00    1.18577113e-04
   1.00005362e-09    3.21703830e-03    1.20059162e+00    1.18622357e-04
   1.00007481e-09    4.48844301e-03    1.20082504e+00    1.18715607e-04
   1.00011719e-09    7.03125242e-03    1.20129094e+00    1.18891319e-04
   1.00020195e-09    1.21168713e-02    1.20221892e+00    1.19249341e-04
   1.00037147e-09    2.22881089e-02    1.20405994e+00    1.19942045e-04
   1.00071051e-09    4.26305842e-02    1.20768412e+00    1.21284026e-04
   1.00104955e-09    6.29730595e-02    1.21123423e+00    1.22546762e-04
   1.00138859e-09    8.33155349e-02    1.21471431e+00    1.23745553e-04
   1.00172763e-09    1.03658010e-01    1.21812836e+00    1.24864830e-04
   1.00206667e-09    1.24000485e-01    1.22148034e+00    1.25919496e-04
   1.00240572e-09    1.44342961e-01    1.22477412e+00    1.26893544e-04
   1.00274476e-09    1.64685436e-01    1.22801358e+00    1.27801406e-04
   1.00308380e-09    1.85027911e-01    1.23120253e+00    1.28626576e-04
   1.00342284e-09    2.05370387e-01    1.23434475e+00    1.29382954e-04
   1.00376188e-09    2.25712862e-01    1.23744403e+00    1.30053461e-04
   1.00410092e-09    2.46055337e-01    1.24050410e+00    1.30651392e-04
   1.00443996e-09    2.66397813e-01    1.24352870e+00    1.31159019e-04
   1.00477900e-09    2.86740288e-01    1.24652153e+00    1.31588941e-04
   1.00511805e-09    3.07082763e-01    1.24948631e+00    1.31922689e-04
   1.00579613e-09    3.47767714e-01    1.25534844e+00    1.32334014e-04
   1.00647421e-09    3.88452665e-01    1.26114196e+00    1.32312526e-04
   1.00715229e-09    4.29137615e-01    1.26689448e+00    1.31870783e-04
   1.00850846e-09    5.10507517e-01    1.27835889e+00    1.29343106e-04
   1.00986462e-09    5.91877418e-01    1.28973543e+00    1.23620553e-04
   1.01000778e-09    6.00466956e-01    1.29091711e+00    1.22675095e-04
   1.01029410e-09    6.17646034e-01    1.29326211e+00    1.20393137e-04
   1.01058042e-09    6.34825111e-01    1.29556506e+00    1.18426657e-04
   1.01086674e-09    6.52004188e-01    1.29781328e+00    1.15584696e-04
   1.01115305e-09    6.69183266e-01    1.29999251e+00    1.13024690e-04
   1.01143937e-09    6.86362343e-01    1.30208691e+00    1.09557458e-04
   1.01172569e-09    7.03541420e-01    1.30407907e+00    1.06342038e-04
   1.01201201e-09    7.20720498e-01    1.30594992e+00    1.02190993e-04
   1.01229833e-09    7.37899575e-01    1.30767875e+00    9.82656941e-05
   1.01258464e-09    7.55078652e-01    1.30924314e+00    9.33821726e-05
   1.01287096e-09    7.72257730e-01    1.31061886e+00    8.87068932e-05
   1.01315728e-09    7.89436807e-01    1.31177982e+00    8.30625220e-05
   1.01341497e-09    8.04897977e-01    1.31261819e+00    7.82056298e-05
   1.01367265e-09    8.20359146e-01    1.31323782e+00    7.24650576e-05
   1.01393034e-09    8.35820316e-01    1.31361498e+00    6.69810638e-05
   1.01416226e-09    8.49735369e-01    1.31372619e+00    6.12131251e-05
   1.01437098e-09    8.62258916e-01    1.31362412e+00    5.63300420e-05
   1.01457971e-09    8.74782463e-01    1.31331414e+00    5.06299035e-05
   1.01478843e-09    8.87306011e-01    1.31277982e+00    4.52548439e-05
   1.01497629e-09    8.98577203e-01    1.31209347e+00    3.96652228e-05
   1.01516414e-09    9.09848396e-01    1.31120019e+00    3.45013191e-05
   1.01535199e-09    9.21119589e-01    1.31008955e+00    2.86561792e-05
   1.01553985e-09    9.32390781e-01    1.30875324e+00    2.33844414e-05
   1.01572770e-09    9.43661974e-01    1.30718597e+00    1.76182093e-05
   1.01589677e-09    9.53806047e-01    1.30557626e+00    1.31439422e-05
   1.01606584e-09    9.63950121e-01    1.30377823e+00    8.25775311e-06
   1.01623490e-09    9.74094194e-01    1.30179367e+00    4.17703218e-06
   1.01640397e-09    9.84238267e-01    1.29962485e+00   -3.09867726e-07
   1.01657304e-09    9.94382341e-01    1.29727394e+00   -4.02960662e-06
   1.01674211e-09    1.00452641e+00    1.29474252e+00   -8.22046223e-06
   1.01691117e-09    1.01467049e+00    1.29203139e+00   -1.17183727e-05
   1.01708024e-09    1.02481456e+00    1.28914051e+00   -1.57582667e-05
   1.01724931e-09    1.03495863e+00    1.28606915e+00   -1.91658159e-05
   1.01741838e-09    1.04510271e+00    1.28281599e+00   -2.31632888e-05
   1.01758745e-09    1.05524678e+00    1.27937927e+00   -2.65640726e-05
   1.01775651e-09    1.06539085e+00    1.27575696e+00   -3.05798411e-05
   1.01792558e-09    1.07553493e+00    1.27194681e+00   -3.40154594e-05
   1.01809465e-09    1.08567900e+00    1.26794650e+00   -3.80760489e-05
   1.01826372e-09    1.09582307e+00    1.26375367e+00   -4.15615899e-05
   1.01843279e-09    1.10596715e+00    1.25936596e+00   -4.56736405e-05
   1.01860185e-09    1.11611122e+00    1.25478107e+00   -4.92096229e-05
   1.01877092e-09    1.12625529e+00    1.24999680e+00   -5.33692802e-05
   1.01893999e-09    1.13639937e+00    1.24501101e+00   -5.69487562e-05
   1.01910906e-09    1.14654344e+00    1.23982170e+00   -6.11468944e-05
   1.01927813e-09    1.15668751e+00    1.23442700e+00   -6.47591987e-05
   1.01944719e-09    1.16683159e+00    1.22882515e+00   -6.89840424e-05
   1.01961626e-09    1.17697566e+00    1.22301454e+00   -7.26165592e-05
   1.01978533e-09    1.18711973e+00    1.21699373e+00   -7.68547975e-05
   1.01995440e-09    1.19726381e+00    1.21076140e+00   -8.04935689e-05
   1.02000000e-09    1.20000000e+00    1.20904398e+00   -8.18538413e-05
   1.02000106e-09    1.20000000e+00    1.20899667e+00   -1.51625995e-04
   1.02000156e-09    1.20000000e+00    1.20897425e+00   -1.51624188e-04
   1.02000201e-09    1.20000000e+00    1.20895408e+00   -1.51622883e-04
   1.02000291e-09    1.20000000e+00    1.20891373e+00   -1.51619702e-04
   1.02000471e-09    1.20000000e+00    1.20883302e+00   -1.51615268e-04
